Algorithm,Image_File,Width,Height,Pixel_Count,Time_ms,Throughput_MPS,Status
Sobel,cloudscomposite.jpg,960,540,518400,13.913997,37.257447,PASS
Canny,cloudscomposite.jpg,960,540,518400,55.155970,9.398801,FAIL
Sobel,clouds.jpg,960,540,518400,8.443107,61.399198,PASS
Canny,clouds.jpg,960,540,518400,66.885615,7.750545,PASS
Sobel,frac1.png,1080,1080,1166400,22.453586,51.947159,PASS
Canny,frac1.png,1080,1080,1166400,140.907153,8.277791,PASS
Sobel,snowtexture.png,1080,1080,1166400,21.903873,53.250857,PASS
Canny,snowtexture.png,1080,1080,1166400,146.193099,7.978489,PASS
Sobel,tree2.png,1080,1080,1166400,20.086254,58.069563,PASS
Canny,tree2.png,1080,1080,1166400,112.539670,10.364345,FAIL
Sobel,mandelbulb1.png,1080,1080,1166400,17.870062,65.271178,PASS
Canny,mandelbulb1.png,1080,1080,1166400,92.193473,12.651655,PASS
Sobel,frac2.png,1080,1080,1166400,15.672594,74.422907,PASS
Canny,frac2.png,1080,1080,1166400,88.376064,13.198144,PASS
Sobel,mandelbrot.png,1080,1080,1166400,14.715260,79.264655,PASS
Canny,mandelbrot.png,1080,1080,1166400,84.271313,13.841009,PASS
Sobel,fractal1.png,1080,1080,1166400,15.377881,75.849202,PASS
Canny,fractal1.png,1080,1080,1166400,122.577057,9.515647,PASS
Sobel,Chess3.png,1080,1080,1166400,18.778042,62.115102,PASS
Canny,Chess3.png,1080,1080,1166400,139.200211,8.379298,PASS
Sobel,DoorWay2.png,1080,1080,1166400,27.214863,42.858933,PASS
Canny,DoorWay2.png,1080,1080,1166400,201.063365,5.801156,PASS
Sobel,tree1.png,1080,1080,1166400,23.813801,48.980001,PASS
Canny,tree1.png,1080,1080,1166400,140.563223,8.298045,PASS
Sobel,DoorWay.png,1080,1080,1166400,19.193188,60.771561,PASS
Canny,DoorWay.png,1080,1080,1166400,114.453136,10.191071,PASS
Sobel,Jupyter3_og_cropped.png,1911,612,1169532,16.793100,69.643604,PASS
Canny,Jupyter3_og_cropped.png,1911,612,1169532,109.489836,10.681649,PASS
Sobel,Jupyter3_og_cropped_2.png,1591,895,1423945,17.984981,79.174118,PASS
Canny,Jupyter3_og_cropped_2.png,1591,895,1423945,124.699299,11.419030,PASS
Sobel,Jupyter3_cropped.png,1700,850,1445000,17.717094,81.559651,PASS
Canny,Jupyter3_cropped.png,1700,850,1445000,126.118969,11.457436,PASS
Sobel,windowcomp.png,1080,1350,1458000,22.329877,65.293687,PASS
Canny,windowcomp.png,1080,1350,1458000,198.855654,7.331951,FAIL
Sobel,exhibit1.png,1080,1350,1458000,25.903729,56.285333,PASS
Canny,exhibit1.png,1080,1350,1458000,143.709494,10.145467,FAIL
Sobel,Moon5.png,1080,1350,1458000,27.896768,52.264119,PASS
Canny,Moon5.png,1080,1350,1458000,186.448140,7.819869,PASS
Sobel,skyscrapercomposited4.png,1080,1350,1458000,35.581182,40.976716,PASS
Canny,skyscrapercomposited4.png,1080,1350,1458000,147.779731,9.866035,PASS
Sobel,EarthX.png,1080,1350,1458000,25.361944,57.487707,PASS
Canny,EarthX.png,1080,1350,1458000,128.936790,11.307866,PASS
Sobel,exhibit2.png,1080,1350,1458000,19.945110,73.100625,PASS
Canny,exhibit2.png,1080,1350,1458000,112.423977,12.968764,PASS
Sobel,astronaut1.png,1080,1350,1458000,23.776402,61.321305,PASS
Canny,astronaut1.png,1080,1350,1458000,203.682276,7.158208,PASS
Sobel,EarthFromSpace.png,1080,1350,1458000,27.498038,53.021965,PASS
Canny,EarthFromSpace.png,1080,1350,1458000,166.905721,8.735470,PASS
Sobel,earthcomp.png,1080,1350,1458000,25.131319,58.015260,PASS
Canny,earthcomp.png,1080,1350,1458000,128.121868,11.379790,PASS
Sobel,skyscrapercomposited5.png,1080,1350,1458000,21.965470,66.376909,PASS
Canny,skyscrapercomposited5.png,1080,1350,1458000,111.114688,13.121578,PASS
Sobel,Moon3.png,1080,1350,1458000,19.181588,76.010391,PASS
Canny,Moon3.png,1080,1350,1458000,112.467448,12.963751,PASS
Sobel,Space.png,1080,1350,1458000,21.778886,66.945573,PASS
Canny,Space.png,1080,1350,1458000,156.193449,9.334578,PASS
Sobel,TheIronThrone.png,1080,1350,1458000,28.742220,50.726771,PASS
Canny,TheIronThrone.png,1080,1350,1458000,180.705604,8.068372,FAIL
Sobel,Moon6.png,1080,1350,1458000,30.573428,47.688470,PASS
Canny,Moon6.png,1080,1350,1458000,127.557329,11.430155,PASS
Sobel,Moon1.png,1080,1350,1458000,21.052615,69.255055,PASS
Canny,Moon1.png,1080,1350,1458000,115.956023,12.573732,PASS
Sobel,Moon2.png,1080,1350,1458000,19.690134,74.047236,PASS
Canny,Moon2.png,1080,1350,1458000,119.246476,12.226776,PASS
Sobel,astronaut2.png,1080,1350,1458000,21.724788,67.112277,PASS
Canny,astronaut2.png,1080,1350,1458000,138.411152,10.533833,PASS
Sobel,Moon4.png,1080,1350,1458000,21.668334,67.287130,PASS
Canny,Moon4.png,1080,1350,1458000,124.808686,11.681879,FAIL
Sobel,fern.png,1080,1350,1458000,27.928188,52.205320,PASS
Canny,fern.png,1080,1350,1458000,159.264719,9.154570,PASS
Sobel,donutcandy.png,1080,1440,1555200,29.070894,53.496807,PASS
Canny,donutcandy.png,1080,1440,1555200,189.691281,8.198585,PASS
Sobel,Jupyter2_edited.png,1834,917,1681778,38.440750,43.749875,PASS
Canny,Jupyter2_edited.png,1834,917,1681778,186.690829,9.008359,FAIL
Sobel,MandelBulbX2.png,1430,1430,2044900,30.967046,66.034713,PASS
Canny,MandelBulbX2.png,1430,1430,2044900,162.219372,12.605769,FAIL
Sobel,mandelbulb.png,1430,1430,2044900,25.278213,80.895750,PASS
Canny,mandelbulb.png,1430,1430,2044900,190.665732,10.725053,PASS
Sobel,MandelBulbX1.png,1430,1430,2044900,27.988526,73.062083,PASS
Canny,MandelBulbX1.png,1430,1430,2044900,217.162463,9.416452,FAIL
Sobel,DoorWayX1.png,1920,1080,2073600,26.721336,77.600910,PASS
Canny,DoorWayX1.png,1920,1080,2073600,167.823573,12.355833,PASS
Sobel,17.png,1920,1080,2073600,29.821494,69.533740,PASS
Canny,17.png,1920,1080,2073600,239.095628,8.672681,PASS
Sobel,watersuncomposite.png,1920,1080,2073600,28.697357,72.257525,PASS
Canny,watersuncomposite.png,1920,1080,2073600,176.327386,11.759943,PASS
Sobel,4.png,1920,1080,2073600,28.630507,72.426241,PASS
Canny,4.png,1920,1080,2073600,186.492238,11.118961,PASS
Sobel,Jupyter3.png,1920,1080,2073600,28.338583,73.172325,PASS
Canny,Jupyter3.png,1920,1080,2073600,199.599716,10.388792,PASS
Sobel,blackhole3composite.png,1920,1080,2073600,30.542824,67.891561,PASS
Canny,blackhole3composite.png,1920,1080,2073600,325.398403,6.372496,PASS
Sobel,2.png,1920,1080,2073600,42.864603,48.375579,PASS
Canny,2.png,1920,1080,2073600,221.722377,9.352236,PASS
Sobel,15.png,1920,1080,2073600,31.167592,66.530645,PASS
Canny,15.png,1920,1080,2073600,218.921205,9.471901,PASS
Sobel,nebula2.png,1920,1080,2073600,29.954771,69.224365,PASS
Canny,nebula2.png,1920,1080,2073600,212.563966,9.755181,FAIL
Sobel,blackhole2.png,1920,1080,2073600,32.106369,64.585316,PASS
Canny,blackhole2.png,1920,1080,2073600,162.937501,12.726352,PASS
Sobel,bugattinsnow.png,1920,1080,2073600,27.450751,75.538917,PASS
Canny,bugattinsnow.png,1920,1080,2073600,192.833156,10.753337,PASS
Sobel,anotherblackhole.png,1920,1080,2073600,29.566710,70.132930,PASS
Canny,anotherblackhole.png,1920,1080,2073600,198.703507,10.435649,PASS
Sobel,skyscrapercomposited2.png,1080,1920,2073600,77.126616,26.885660,PASS
Canny,skyscrapercomposited2.png,1080,1920,2073600,313.025431,6.624382,PASS
Sobel,neb1.png,1920,1080,2073600,42.340956,48.973859,PASS
Canny,neb1.png,1920,1080,2073600,244.680769,8.474716,PASS
Sobel,DoorWayX2.png,1920,1080,2073600,38.361618,54.054029,PASS
Canny,DoorWayX2.png,1920,1080,2073600,227.992532,9.095035,PASS
Sobel,AlienLandscapeX.png,1920,1080,2073600,35.166341,58.965475,PASS
Canny,AlienLandscapeX.png,1920,1080,2073600,290.742651,7.132081,PASS
Sobel,HexRing1.png,1080,1920,2073600,31.451344,65.930410,PASS
Canny,HexRing1.png,1080,1920,2073600,168.679345,12.293147,PASS
Sobel,Jupyter2.png,1920,1080,2073600,26.508171,78.224937,PASS
Canny,Jupyter2.png,1920,1080,2073600,174.092877,11.910884,PASS
Sobel,neb2.png,1920,1080,2073600,28.013193,74.022265,PASS
Canny,neb2.png,1920,1080,2073600,243.157448,8.527808,PASS
Sobel,bugattinew2.png,1920,1080,2073600,34.074221,60.855390,PASS
Canny,bugattinew2.png,1920,1080,2073600,194.521411,10.660009,FAIL
Sobel,exhibit3.png,1920,1080,2073600,29.177041,71.069578,PASS
Canny,exhibit3.png,1920,1080,2073600,166.912440,12.423280,FAIL
Sobel,lambo.png,1920,1080,2073600,31.329666,66.186470,PASS
Canny,lambo.png,1920,1080,2073600,173.801318,11.930865,PASS
